"Year","Month","Copper_Open","Copper_High","Copper_Low","Copper_Price"
2003,"(1.0, 0.0)",0.2035,0.19,0.4114,0.1591
2003,"(0.866, 0.5)",0.1795,0.2033,0.45,0.202
2003,"(0.5, 0.866)",0.1662,0.1677,0.4327,0.1782
2002,"(-0.0, 1.0)",0.1302,0.1562,0.4131,0.1604
2002,"(-0.5, 0.866)",0.1325,0.111,0.4023,0.1271
2002,"(-0.866, 0.5)",0.1574,0.1378,0.4128,0.1296
2002,"(-1.0, -0.0)",0.1463,0.1394,0.4196,0.1546
2002,"(-0.866, -0.5)",0.1309,0.1315,0.4096,0.1432
2002,"(-0.5, -0.866)",0.1301,0.115,0.4079,0.1281
2002,"(0.0, -1.0)",0.1176,0.1072,0.396,0.1269
2002,"(0.5, -0.866)",0.1328,0.1257,0.3997,0.1149
2002,"(0.866, -0.5)",0.1268,0.1168,0.3929,0.1302
2002,"(1.0, 0.0)",0.091,0.1022,0.3825,0.1226
2002,"(0.866, 0.5)",0.0731,0.0685,0.3669,0.0874
2002,"(0.5, 0.866)",0.0764,0.0697,0.3592,0.0699
2001,"(-0.0, 1.0)",0.0726,0.0659,0.3589,0.0727
2001,"(-0.5, 0.866)",0.0868,0.0743,0.3521,0.0696
2001,"(-0.866, 0.5)",0.104,0.0844,0.3774,0.083
2001,"(-1.0, -0.0)",0.1322,0.1289,0.3744,0.1004
2001,"(-0.866, -0.5)",0.1259,0.1173,0.4113,0.1295
2001,"(-0.5, -0.866)",0.1256,0.1164,0.4005,0.1229
2001,"(0.0, -1.0)",0.1423,0.1263,0.404,0.1222
2001,"(0.5, -0.866)",0.1419,0.1306,0.416,0.1385
2001,"(0.866, -0.5)",0.1259,0.1219,0.4064,0.1392
2001,"(1.0, 0.0)",0.1341,0.1228,0.4077,0.1225
2001,"(0.866, 0.5)",0.144,0.143,0.418,0.131
2001,"(0.5, 0.866)",0.1302,0.1491,0.4136,0.1408
2000,"(-0.0, 1.0)",0.1828,0.1599,0.407,0.1264
2000,"(-0.5, 0.866)",0.1746,0.1724,0.4472,0.1806
2000,"(-0.866, 0.5)",0.1614,0.1811,0.4354,0.1719
2000,"(-1.0, -0.0)",0.177,0.187,0.4355,0.1576
2000,"(-0.866, -0.5)",0.1337,0.1566,0.4173,0.1752
2000,"(-0.5, -0.866)",0.1628,0.1465,0.4179,0.1313
2000,"(0.0, -1.0)",0.1463,0.1543,0.4273,0.1704
2000,"(0.5, -0.866)",0.1198,0.1352,0.4066,0.1435
2000,"(0.866, -0.5)",0.1298,0.1105,0.3954,0.1182
2000,"(1.0, 0.0)",0.1577,0.1615,0.4099,0.1272
2000,"(0.866, 0.5)",0.1355,0.1352,0.4183,0.1544
2000,"(0.5, 0.866)",0.1171,0.1287,0.3973,0.1329
1999,"(-0.0, 1.0)",0.1127,0.1069,0.3978,0.1171
1999,"(-0.5, 0.866)",0.0925,0.1079,0.3834,0.1094
1999,"(-0.866, 0.5)",0.1113,0.0908,0.3759,0.0874
1999,"(-1.0, -0.0)",0.0934,0.0928,0.3813,0.1087
1999,"(-0.866, -0.5)",0.0802,0.0717,0.3731,0.0902
1999,"(-0.5, -0.866)",0.0722,0.0631,0.3673,0.078
1999,"(0.0, -1.0)",0.0526,0.0501,0.3491,0.0685
1999,"(0.5, -0.866)",0.0657,0.0478,0.3517,0.0495
1999,"(0.866, -0.5)",0.0517,0.0461,0.3454,0.0636
1999,"(1.0, 0.0)",0.0184,0.0329,0.3242,0.0489
1999,"(0.866, 0.5)",0.0218,0.0021,0.3185,0.0143
1999,"(0.5, 0.866)",0.0169,0.0084,0.3214,0.018
1998,"(-0.0, 1.0)",0.0102,0,0.3129,0.0126
1998,"(-0.5, 0.866)",0.0367,0.0163,0.3158,0.0062
1998,"(-0.866, 0.5)",0.0476,0.0278,0.3297,0.0309
1998,"(-1.0, -0.0)",0.0255,0.0266,0.3301,0.0441
1998,"(-0.866, -0.5)",0.0329,0.0121,0.3266,0.0225
1998,"(-0.5, -0.866)",0.0334,0.0177,0.3308,0.0292
1998,"(0.0, -1.0)",0.0403,0.0219,0.3194,0.029
1998,"(0.5, -0.866)",0.0427,0.0273,0.3262,0.0369
1998,"(0.866, -0.5)",0.0434,0.0266,0.3413,0.0384
1998,"(1.0, 0.0)",0.0426,0.0362,0.328,0.0401
1998,"(0.866, 0.5)",0.0554,0.034,0.3429,0.0387
1998,"(0.5, 0.866)",0.0594,0.0404,0.346,0.0524
1997,"(-0.0, 1.0)",0.07,0.0479,0.3571,0.0557
1997,"(-0.5, 0.866)",0.0872,0.0663,0.3661,0.0674
1997,"(-0.866, 0.5)",0.0861,0.0782,0.3734,0.0823
1997,"(-1.0, -0.0)",0.0741,0.0658,0.3678,0.083
1997,"(-0.866, -0.5)",0.0783,0.0618,0.3672,0.0709
1997,"(-0.5, -0.866)",0.0758,0.0585,0.3656,0.075
1997,"(0.0, -1.0)",0.0821,0.0635,0.3623,0.0724
