"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/1999","8.2770","8.2770","8.2770","8.2770","","0.00%"
"07/01/1999","8.2774","8.2774","8.2774","8.2774","","-0.02%"
"06/01/1999","8.2787","8.2787","8.2787","8.2787","","0.00%"
"05/01/1999","8.2784","8.2784","8.2784","8.2784","","-0.01%"
"04/01/1999","8.2790","8.2790","8.2790","8.2790","","-0.01%"
"03/01/1999","8.2800","8.2800","8.2800","8.2800","","0.01%"
"02/01/1999","8.2790","8.2790","8.2790","8.2790","","0.01%"
"01/01/1999","8.2778","8.2778","8.2778","8.2778","","-0.01%"
"12/01/1998","8.2789","8.2789","8.2789","8.2789","","0.01%"
"11/01/1998","8.2782","8.2782","8.2782","8.2782","","0.00%"
"10/01/1998","8.2778","8.2778","8.2778","8.2778","","0.00%"
"09/01/1998","8.2780","8.2780","8.2780","8.2780","","-0.02%"
"08/01/1998","8.2800","8.2800","8.2800","8.2800","","0.00%"
"07/01/1998","8.2799","8.2799","8.2799","8.2799","","0.00%"
"06/01/1998","8.2797","8.2797","8.2797","8.2797","","0.00%"
"05/01/1998","8.2793","8.2793","8.2793","8.2793","","0.02%"
"04/01/1998","8.2779","8.2779","8.2779","8.2779","","-0.02%"
"03/01/1998","8.2793","8.2793","8.2793","8.2793","","0.00%"
"02/01/1998","8.2789","8.2789","8.2789","8.2789","","0.00%"
"01/01/1998","8.2785","8.2785","8.2785","8.2785","","-0.01%"
"12/01/1997","8.2796","8.2796","8.2796","8.2796","","0.00%"
"11/01/1997","8.2796","8.2796","8.2796","8.2796","","-0.05%"
"10/01/1997","8.2834","8.2834","8.2834","8.2834","","-0.02%"
"09/01/1997","8.2849","8.2849","8.2849","8.2849","","-0.04%"
"08/01/1997","8.2884","8.2884","8.2884","8.2884","","-0.02%"
"07/01/1997","8.2903","8.2903","8.2903","8.2903","","0.00%"
"06/01/1997","8.2907","8.2907","8.2907","8.2907","","-0.02%"
"05/01/1997","8.2921","8.2921","8.2921","8.2921","","-0.03%"
"04/01/1997","8.2945","8.2945","8.2945","8.2945","","-0.01%"
"03/01/1997","8.2955","8.2955","8.2955","8.2955","","0.00%"
"02/01/1997","8.2954","8.2954","8.2954","8.2954","","0.02%"
"01/01/1997","8.2934","8.2934","8.2934","8.2934","","-0.06%"
"12/01/1996","8.2984","8.2984","8.2984","8.2984","","-0.03%"
"11/01/1996","8.3012","8.3012","8.3012","8.3012","","0.01%"
"10/01/1996","8.3000","8.3000","8.3000","8.3000","","-0.02%"
"09/01/1996","8.3017","8.3017","8.3017","8.3017","","-0.06%"
"08/01/1996","8.3063","8.3063","8.3063","8.3063","","-0.05%"
"07/01/1996","8.3107","8.3107","8.3107","8.3107","","-0.14%"
"06/01/1996","8.3221","8.3221","8.3221","8.3221","","-0.04%"
"05/01/1996","8.3255","8.3255","8.3255","8.3255","","-0.06%"
