Date,Price,Open,High,Low,Vol.,Change %
11/01/1992,0.986,1.015,1.015,0.95,0.84K,-3.05%
10/01/1992,1.017,1.035,1.04,0.988,82.07K,-2.91%
9/01/1992,1.0475,1.124,1.124,1.038,9.53K,-5.20%
8/01/1992,1.105,1.1265,1.155,1.1115,5.80K,-1.78%
7/01/1992,1.125,1.0945,1.171,1.0885,98.77K,2.55%
6/01/1992,1.097,1.017,1.1085,1.017,12.40K,8.35%
5/01/1992,1.0125,1.0035,1.017,0.997,50.96K,0.80%
4/01/1992,1.0045,1.021,1.027,0.985,8.75K,-0.89%
3/01/1992,1.0135,1.026,1.0315,1.003,73.12K,-1.79%
2/01/1992,1.032,0.978,1.04,0.975,15.76K,4.82%
1/01/1992,0.9845,0.971,0.9995,0.937,106.28K,0.92%
12/01/1991,0.9755,1.018,1.018,0.965,8.77K,-3.99%
11/01/1991,1.016,1.054,1.062,1.0285,1.05K,-3.97%
10/01/1991,1.058,1.045,1.08,1.028,95.31K,0.95%
9/01/1991,1.048,1.034,1.075,1.02,12.95K,1.30%
8/01/1991,1.0345,1.002,1.0365,0.9835,1.11K,2.63%
7/01/1991,1.008,1.011,1.0365,0.974,76.57K,0.65%
6/01/1991,1.0015,0.962,1.019,0.961,11.10K,3.89%
